Qcount, Qval, Angsum
1, -7.124, 28.8049
2, -7.11066, 28.8049
3, -7.09731, 28.8049
4, -7.08397, 28.805
5, -7.07062, 28.8049
6, -7.05728, 28.805
7, -7.04393, 28.8049
8, -7.03059, 28.805
9, -7.01724, 28.8049
10, -7.0039, 28.8049
11, -6.99055, 28.8049
12, -6.9772, 28.8049
13, -6.96386, 28.8049
14, -6.95051, 28.8049
15, -6.93717, 28.8049
16, -6.92382, 28.8049
17, -6.91048, 28.8049
18, -6.89713, 28.8049
19, -6.88379, 28.8049
20, -6.87044, 28.8049
21, -6.8571, 28.8049
22, -6.84375, 28.8048
23, -6.83041, 28.8048
