Qcount, Qval, Angsum
1, -7.12272, 28.8052
2, -7.10938, 28.8051
3, -7.09603, 28.8051
4, -7.08269, 28.8051
5, -7.06935, 28.8051
6, -7.05601, 28.8051
7, -7.04266, 28.8051
8, -7.02932, 28.8051
9, -7.01598, 28.8051
10, -7.00264, 28.8051
11, -6.98929, 28.8051
12, -6.97595, 28.8051
13, -6.96261, 28.8051
14, -6.94926, 28.8051
15, -6.93592, 28.8051
16, -6.92258, 28.8051
17, -6.90924, 28.8051
18, -6.89589, 28.8051
19, -6.88255, 28.8051
20, -6.86921, 28.8051
21, -6.85587, 28.8051
22, -6.84252, 28.8051
23, -6.82918, 28.8051
24, -6.81584, 28.805
25, -6.80249, 28.805
26, -6.78915, 28.805
27, -6.77581, 28.805
28, -6.76247, 28.805
29, -6.74912, 28.805
30, -6.73578, 28.805
31, -6.72244, 28.805
32, -6.7091, 28.805
33, -6.69575, 28.8049
34, -6.68241, 28.8049
35, -6.66907, 28.8049
36, -6.65573, 28.8049
37, -6.64238, 28.8049
38, -6.62904, 28.8049
39, -6.6157, 28.8049
40, -6.60235, 28.8049
41, -6.58901, 28.8049
42, -6.57567, 28.8049
43, -6.56233, 28.8049
44, -6.54898, 28.8048
45, -6.53564, 28.8048
46, -6.5223, 28.8048
47, -6.50896, 28.8048
48, -6.49561, 28.8047
49, -6.48227, 28.8048
50, -6.46893, 28.8048
51, -6.45558, 28.8048
52, -6.44224, 28.8048
53, -6.4289, 28.8047
54, -6.41556, 28.8047
55, -6.40221, 28.8047
56, -6.38887, 28.8047
57, -6.37553, 28.8047
58, -6.36219, 28.8046
59, -6.34884, 28.8047
60, -6.3355, 28.8045
61, -6.32216, 28.8045
62, -6.30881, 28.8046
63, -6.29547, 28.8045
64, -6.28213, 28.8045
65, -6.26879, 28.8045
66, -6.25544, 28.8044
67, -6.2421, 28.8044
68, -6.22876, 28.8044
69, -6.21542, 28.8045
70, -6.20207, 28.8044
71, -6.18873, 28.8044
72, -6.17539, 28.8043
73, -6.16204, 28.8043
74, -6.1487, 28.8043
75, -6.13536, 28.8044
76, -6.12202, 28.8042
77, -6.10867, 28.8043
78, -6.09533, 28.8042
79, -6.08199, 28.8041
80, -6.06865, 28.8042
81, -6.0553, 28.8041
82, -6.04196, 28.8041
83, -6.02862, 28.8041
84, -6.01528, 28.804
85, -6.00193, 28.8041
86, -5.98859, 28.8039
87, -5.97525, 28.8039
88, -5.9619, 28.804
89, -5.94856, 28.8038
90, -5.93522, 28.8038
91, -5.92188, 28.8036
92, -5.90853, 28.8037
93, -5.89519, 28.8036
94, -5.88185, 28.8035
95, -5.86851, 28.8034
96, -5.85516, 28.8034
97, -5.84182, 28.8032
98, -5.82848, 28.8035
99, -5.81513, 28.8033
100, -5.80179, 28.8033
101, -5.78845, 28.8031
102, -5.77511, 28.8031
103, -5.76176, 28.8034
104, -5.74842, 28.8031
105, -5.73508, 28.8028
106, -5.72174, 28.803
107, -5.70839, 28.8028
108, -5.69505, 28.8031
109, -5.68171, 28.8025
110, -5.66836, 28.8028
111, -5.65502, 28.8026
112, -5.64168, 28.8024
113, -5.62834, 28.8024
114, -5.61499, 28.8026
115, -5.60165, 28.8023
116, -5.58831, 28.8024
117, -5.57497, 28.8021
118, -5.56162, 28.8023
119, -5.54828, 28.8021
120, -5.53494, 28.8021
121, -5.5216, 28.8019
122, -5.50825, 28.8015
123, -5.49491, 28.8015
124, -5.48157, 28.8019
125, -5.46822, 28.8013
126, -5.45488, 28.8015
127, -5.44154, 28.8013
128, -5.4282, 28.8009
129, -5.41485, 28.8009
130, -5.40151, 28.8008
131, -5.38817, 28.8011
132, -5.37483, 28.8006
133, -5.36148, 28.8004
134, -5.34814, 28.8003
135, -5.3348, 28.8005
136, -5.32145, 28.7998
137, -5.30811, 28.8002
138, -5.29477, 28.8002
139, -5.28143, 28.7992
140, -5.26808, 28.7999
141, -5.25474, 28.7997
142, -5.2414, 28.7993
143, -5.22806, 28.7987
144, -5.21471, 28.799
145, -5.20137, 28.799
146, -5.18803, 28.799
147, -5.17468, 28.798
148, -5.16134, 28.7983
149, -5.148, 28.7984
150, -5.13466, 28.7975
151, -5.12131, 28.7968
152, -5.10797, 28.7976
153, -5.09463, 28.7968
154, -5.08129, 28.7963
155, -5.06794, 28.7966
156, -5.0546, 28.7963
157, -5.04126, 28.797
158, -5.02791, 28.7963
159, -5.01457, 28.7947
160, -5.00123, 28.7961
161, -4.98789, 28.795
162, -4.97454, 28.7938
163, -4.9612, 28.7947
164, -4.94786, 28.7949
165, -4.93452, 28.7942
166, -4.92117, 28.7933
167, -4.90783, 28.7935
168, -4.89449, 28.7933
169, -4.88115, 28.7913
170, -4.8678, 28.792
171, -4.85446, 28.7924
172, -4.84112, 28.7931
173, -4.82777, 28.7918
174, -4.81443, 28.791
175, -4.80109, 28.7904
176, -4.78775, 28.7907
177, -4.7744, 28.7892
178, -4.76106, 28.7878
179, -4.74772, 28.7885
180, -4.73438, 28.79
181, -4.72103, 28.7881
